trade_data_id,area,build-year,day,floor,main-num,name,price,road-name,si-gun-gu,sub-num,trade-type,year-and-month
22451,59.8,1997,11,13,202,송정한신,22700,경강로2539번길 8,강원도 강릉시 견소동,0,중개거래,202202
22452,59.8,1997,15,13,202,송정한신,19300,경강로2539번길 8,강원도 강릉시 견소동,0,중개거래,202202
22453,84.945,1997,16,15,202,송정한신,27800,경강로2539번길 8,강원도 강릉시 견소동,0,중개거래,202202
22454,59.8,1997,24,12,202,송정한신,21000,경강로2539번길 8,강원도 강릉시 견소동,0,중개거래,202202
22455,59.99,2005,21,11,289,송정해변신도브래뉴아파트,32000,경강로2539번길 22,강원도 강릉시 견소동,0,중개거래,202202
22456,84.99,2005,23,12,289,송정해변신도브래뉴아파트,24200,경강로2539번길 22,강원도 강릉시 견소동,0,직거래,202202
22457,84.9964,2017,18,17,1984,강릉교동풍림아이원아파트,43500,화부산로40번길 29,강원도 강릉시 교동,0,중개거래,202202
22458,59.49,1985,5,4,797,강원,9600,화부산로131번길 6,강원도 강릉시 교동,1,중개거래,202202
22459,84.84,1999,5,2,1750,교동1주공,40000,가작로 78,강원도 강릉시 교동,0,중개거래,202202
22460,59.89,1999,22,3,1750,교동1주공,24800,가작로 78,강원도 강릉시 교동,0,중개거래,202202
22461,59.84,2002,4,11,1766,교동3주공,30000,교동광장로 138-12,강원도 강릉시 교동,0,중개거래,202202
22462,118.273,1997,28,3,18,교동대림,32700,수리골길17번길 21,강원도 강릉시 교동,16,중개거래,202202
22463,78.96,1991,14,8,332,대인맨션,19000,화부산로141번길 45,강원도 강릉시 교동,2,직거래,202202
22464,48.6,1987,22,3,318,매화임대,13000,율곡로2968번길 26,강원도 강릉시 교동,4,중개거래,202202
22465,59.58,1999,5,5,1773,부영1,20300,정원로 53-4,강원도 강릉시 교동,0,중개거래,202202
22466,49.92,1999,9,6,1773,부영1,17400,정원로 53-4,강원도 강릉시 교동,0,중개거래,202202
22467,49.92,1999,18,2,1773,부영1,17000,정원로 53-4,강원도 강릉시 교동,0,중개거래,202202
22468,59.58,1999,26,7,1773,부영1,21500,정원로 53-4,강원도 강릉시 교동,0,중개거래,202202
22469,84.93,2001,11,2,1762,부영5,38000,교동광장로 163,강원도 강릉시 교동,0,중개거래,202202
22470,84.93,2001,15,11,1762,부영5,42600,교동광장로 163,강원도 강릉시 교동,0,중개거래,202202
22471,84.93,2001,15,11,1762,부영5,42600,교동광장로 163,강원도 강릉시 교동,0,중개거래,202202
22472,76.29,1992,28,6,1034,정아타워맨션,14500,화부산로 29,강원도 강릉시 교동,0,중개거래,202202
22473,84.945,1992,11,4,828,현대,18700,옛강일길 41,강원도 강릉시 교동,19,중개거래,202202
22474,122.74,1999,12,11,1759,현대하이빌,50000,원대로128번길 14,강원도 강릉시 교동,0,중개거래,202202
22475,122.74,1999,17,2,1759,현대하이빌,50000,원대로128번길 14,강원도 강릉시 교동,0,중개거래,202202
22476,99.96,1999,22,3,1759,현대하이빌,41500,원대로128번길 14,강원도 강릉시 교동,0,중개거래,202202
22477,41.18,1988,8,2,616,강부2,6500,관대길 63,강원도 강릉시 내곡동,0,중개거래,202202
22478,41.18,1988,9,1,616,강부2,5875,관대길 63,강원도 강릉시 내곡동,0,중개거래,202202
22479,41.18,1988,19,3,616,강부2,6700,관대길 63,강원도 강릉시 내곡동,0,중개거래,202202
22480,24.795,1988,22,4,616,강부2,3950,관대길 63,강원도 강릉시 내곡동,0,중개거래,202202
22481,49.94,1992,19,2,75,관동2,8200,남산초교길12번길 11,강원도 강릉시 내곡동,1,중개거래,202202
22482,71.72,1993,16,2,127,남산삼익,16300,남부로125번길 37,강원도 강릉시 내곡동,0,중개거래,202202
22483,84.865,1998,12,18,469,내곡동현대,25700,범일로 645,강원도 강릉시 내곡동,0,중개거래,202202
22484,39.3,1989,15,5,623,내곡주공,9500,관대길16번길 6,강원도 강릉시 내곡동,0,중개거래,202202
22485,59.97,1997,8,6,476,내곡한라,17400,강변로 114,강원도 강릉시 내곡동,0,중개거래,202202
22486,59.97,1997,14,3,476,내곡한라,17300,강변로 114,강원도 강릉시 내곡동,0,중개거래,202202
22487,59.97,1997,26,1,476,내곡한라,15500,강변로 114,강원도 강릉시 내곡동,0,중개거래,202202
22488,59.97,1997,26,16,476,내곡한라,17000,강변로 114,강원도 강릉시 내곡동,0,중개거래,202202
22489,59.97,1997,26,15,476,내곡한라,21500,강변로 114,강원도 강릉시 내곡동,0,중개거래,202202
22490,84.86,1993,13,3,136,삼익타워맨션,14000,남산초교길 65,강원도 강릉시 내곡동,0,중개거래,202202
22491,39.762,2000,12,3,605,노암3한라,8150,남부로125번길 7,강원도 강릉시 노암동,0,중개거래,202202
22492,39.762,2000,12,3,605,노암3한라,8150,남부로125번길 7,강원도 강릉시 노암동,0,중개거래,202202
22493,74.64,2000,22,2,605,노암3한라,16000,남부로125번길 7,강원도 강릉시 노암동,0,직거래,202202
22494,59.944,1998,14,10,711,신화,18000,강변로 270,강원도 강릉시 노암동,0,직거래,202202
22495,84.954,1998,24,12,711,신화,28500,강변로 270,강원도 강릉시 노암동,0,중개거래,202202
22496,84.4413,2009,14,7,844,양우내안애,33500,강변로 328-8,강원도 강릉시 노암동,0,중개거래,202202
22497,84.4413,2009,27,10,844,양우내안애,33000,강변로 328-8,강원도 강릉시 노암동,0,중개거래,202202
22498,84.9522,2020,5,4,1065,강릉송정신원아침도시,44000,경강로 2498,강원도 강릉시 송정동,0,중개거래,202202
22499,75.9722,2020,12,3,1065,강릉송정신원아침도시,43500,경강로 2498,강원도 강릉시 송정동,0,중개거래,202202
22500,75.9722,2020,24,9,1065,강릉송정신원아침도시,47500,경강로 2498,강원도 강릉시 송정동,0,중개거래,202202
22501,84.961,2019,5,14,1063,강릉송정한신더휴,52750,경강로 2448,강원도 강릉시 송정동,0,중개거래,202202
