trade_data_id,area,build-year,day,floor,main-num,name,price,road-name,si-gun-gu,sub-num,trade-type,year-and-month
222357,84.99,2005,4,10,289,송정해변신도브래뉴아파트,35000,경강로2539번길 22,강원도 강릉시 견소동,0,직거래,202210
222358,84.9855,2009,17,11,1983,강릉교동롯데캐슬2단지,49900,화부산로111번길 24,강원도 강릉시 교동,0,중개거래,202210
222359,84.84,1999,6,9,1750,교동1주공,37400,가작로 78,강원도 강릉시 교동,0,중개거래,202210
222360,54.81,1985,5,4,1429,민락,12000,하슬라로10번길 7,강원도 강릉시 교동,1,중개거래,202210
222361,49.92,1999,9,11,1773,부영1,18000,정원로 53-4,강원도 강릉시 교동,0,중개거래,202210
222362,84.93,2001,11,7,1780,부영3차,28500,하슬라로 124,강원도 강릉시 교동,0,중개거래,202210
222363,84.93,2001,21,14,1762,부영5,39000,교동광장로 163,강원도 강릉시 교동,0,중개거래,202210
222364,33.9,1995,26,4,37,예성그린1,9000,가작로252번길 22,강원도 강릉시 교동,3,중개거래,202210
222365,65.495,1981,13,2,780,제일,7400,화부산로117번길 7,강원도 강릉시 교동,0,직거래,202210
222366,99.96,1999,7,7,1759,현대하이빌,42500,원대로128번길 14,강원도 강릉시 교동,0,중개거래,202210
222367,59.84,1998,29,15,469,내곡동현대,19300,범일로 645,강원도 강릉시 내곡동,0,중개거래,202210
222368,84.95,1997,17,13,476,내곡한라,29200,강변로 114,강원도 강릉시 내곡동,0,중개거래,202210
222369,59.97,1997,30,7,476,내곡한라,18600,강변로 114,강원도 강릉시 내곡동,0,중개거래,202210
222370,39.762,2000,25,13,605,노암3한라,12200,남부로125번길 7,강원도 강릉시 노암동,0,중개거래,202210
222371,105.858,1994,11,1,390,노암한라,26500,노암길42번길 28,강원도 강릉시 노암동,0,중개거래,202210
222372,59.976,1994,21,11,390,노암한라,14200,노암길42번길 28,강원도 강릉시 노암동,0,중개거래,202210
222373,44.64,1998,6,8,711,신화,14900,강변로 270,강원도 강릉시 노암동,0,중개거래,202210
222374,44.64,1998,12,7,711,신화,12000,강변로 270,강원도 강릉시 노암동,0,직거래,202210
222375,31.3167,2021,25,10,911,플라주메종,15976,해안로 1022,강원도 강릉시 사천면 사천진리,0,직거래,202210
222376,72.86,1992,6,2,940,삼우은성,18800,남강초교1길 55,강원도 강릉시 송정동,0,중개거래,202210
222377,84.93,2019,29,16,1064,송정아이파크,45000,경강로 2511,강원도 강릉시 송정동,0,직거래,202210
222378,30.24,1999,17,9,305,삼우그린,7000,연주로 132,강원도 강릉시 연곡면 영진리,2,중개거래,202210
222379,30.24,1999,20,8,305,삼우그린,6900,연주로 132,강원도 강릉시 연곡면 영진리,2,중개거래,202210
222380,59.987,2005,13,11,11,영진부영1,15000,영진3길 38,강원도 강릉시 연곡면 영진리,0,직거래,202210
222381,59.987,2005,11,1,12,영진부영2,19500,영진3길 43,강원도 강릉시 연곡면 영진리,0,중개거래,202210
222382,29.9674,2019,7,7,381,영진코아루비치테라스,13600,홍질목길 12,강원도 강릉시 연곡면 영진리,0,중개거래,202210
222383,29.9674,2019,15,5,381,영진코아루비치테라스,12900,홍질목길 12,강원도 강릉시 연곡면 영진리,0,중개거래,202210
222384,29.9674,2019,24,13,381,영진코아루비치테라스,14700,홍질목길 12,강원도 강릉시 연곡면 영진리,0,중개거래,202210
222385,29.9674,2019,24,13,381,영진코아루비치테라스,14700,홍질목길 12,강원도 강릉시 연곡면 영진리,0,중개거래,202210
222386,54.09,1980,13,3,126,금잔디,4900,수문길21번길 26,강원도 강릉시 옥천동,12,직거래,202210
222387,74.88,2018,13,20,778,엘에이치선수촌8단지,49000,선수촌로 113,강원도 강릉시 유천동,0,중개거래,202210
222388,74.88,2018,19,14,778,엘에이치선수촌8단지,47000,선수촌로 113,강원도 강릉시 유천동,0,중개거래,202210
222389,74.71,2014,14,4,711,강릉더샵,25750,입암로29번길 11,강원도 강릉시 입암동,0,직거래,202210
222390,157.22,2007,17,7,321,강릉입암동금호어울림,50000,성덕로 328-15,강원도 강릉시 입암동,0,중개거래,202210
222391,84.96,2007,26,13,321,강릉입암동금호어울림,41000,성덕로 328-15,강원도 강릉시 입암동,0,중개거래,202210
222392,54.93,1984,17,4,650,강변,10000,강중길 13,강원도 강릉시 입암동,3,중개거래,202210
222393,59.94,1992,17,5,92,녹원,13000,월대산로 57,강원도 강릉시 입암동,1,중개거래,202210
222394,49.86,1987,25,5,499,대목(A단지),6750,용지로 48,강원도 강릉시 입암동,64,직거래,202210
222395,84.7,2006,5,9,210,이안강릉타운,35000,성덕로 316-22,강원도 강릉시 입암동,0,중개거래,202210
222396,59.8,1996,27,8,685,입암4주공,15500,성덕포남로 89,강원도 강릉시 입암동,0,중개거래,202210
222397,49.97,1996,15,11,685,입암5주공,13500,성덕포남로 89-17,강원도 강릉시 입암동,0,중개거래,202210
222398,49.62,1998,5,13,709,입암6주공,14500,성덕포남로 39,강원도 강릉시 입암동,1,중개거래,202210
222399,59.956,1998,5,13,440,입암현대,19500,용지로 19,강원도 강릉시 입암동,0,중개거래,202210
