_trade_data_id,address,area,build-year,floor,Y,X,main-num,name,price,sub-num,day,trade-type,year-and-month
243428,경상남도 거제시 제산로 28-5,59.94,1996,3,34.8894157,128.6389703,936,한신그린맨션,5500,74,10,중개거래,202211
243375,경상남도 거제시 서문로6길 7,44.1275,2004,10,34.8884708,128.6212617,961,태정프로빌,7000,3,9,직거래,202211
243438,경상남도 거제시 옥포성안로 15,84.93,2003,5,34.8879644,128.693266,556,라메르펠리스,10950,15,7,중개거래,202211
244895,경상남도 통영시 용남면 장평신촌1길 29,59.734,2003,12,34.887798,128.4675358,400,동원로얄듀크1차,9300,0,3,중개거래,202211
243461,경상남도 거제시 장평2로2길 10,84.9643,2008,8,34.8877451,128.6078983,142,덕산아내2차,19150,0,19,중개거래,202211
243462,경상남도 거제시 장평2로2길 10,84.9643,2008,8,34.8877451,128.6078983,142,덕산아내2차,19150,0,19,중개거래,202211
243460,경상남도 거제시 장평2로 19,75.563,2008,10,34.8875088,128.6100737,143,덕산아내1차,17000,0,11,중개거래,202211
257994,경상남도 거제시 거제대로 3696,84.9829,2006,12,34.887335,128.6929762,556,미진타워펠리스,16400,11,18,중개거래,202212
258001,경상남도 거제시 옥포로5길 26,59.93,1994,5,34.8871299,128.694156,555,혜성비치맨션,7000,15,27,직거래,202212
244894,경상남도 통영시 용남면 견내량로 91,59.7022,2017,6,34.886427,128.467725,1203,덕진왈츠2차,15250,0,20,중개거래,202211
243433,경상남도 거제시 거제대로 3697-19,80.515,1994,13,34.8862465,128.690987,222,그린파크맨션,7000,0,7,직거래,202211
257952,경상남도 거제시 고현로6길 6,59.79,1991,3,34.885581,128.6222683,755,화성타워맨션,9000,8,5,중개거래,202212
243364,경상남도 거제시 거제중앙로17길 10,50.04,2005,8,34.8848345,128.6236958,113,나인스카이시티,7850,1,16,중개거래,202211
257949,경상남도 거제시 거제중앙로17길 10,50.04,2005,11,34.8848345,128.6236958,113,나인스카이시티,7900,1,15,중개거래,202212
264199,전라남도 여수시 율촌면 율촌로 115,47.54,1994,3,34.8843642,127.5769878,88, 조화(A B C) ,4090,1,16,직거래,202212
244845,경상남도 통영시 광도면 죽림3로 13,84.884,2010,10,34.8841117,128.415179,251,주영더팰리스1차,26000,1,3,중개거래,202211
244847,경상남도 통영시 광도면 죽림5로 56,84.966,2018,14,34.8836061,128.4206682,1573,주영더팰리스5차,38500,2,1,중개거래,202211
244848,경상남도 통영시 광도면 죽림5로 56,84.966,2018,8,34.8836061,128.4206682,1573,주영더팰리스5차,37500,2,5,중개거래,202211
244849,경상남도 통영시 광도면 죽림5로 56,84.9381,2018,16,34.8836061,128.4206682,1573,주영더팰리스5차,34000,2,14,중개거래,202211
258906,경상남도 통영시 광도면 죽림5로 56,84.9381,2018,3,34.8836061,128.4206682,1573,주영더팰리스5차,32000,2,5,중개거래,202212
258907,경상남도 통영시 광도면 죽림5로 56,74.827,2018,25,34.8836061,128.4206682,1573,주영더팰리스5차,32000,2,12,중개거래,202212
258908,경상남도 통영시 광도면 죽림5로 56,74.827,2018,26,34.8836061,128.4206682,1573,주영더팰리스5차,32000,2,18,중개거래,202212
258903,경상남도 통영시 광도면 죽림3로 5,84.983,2013,22,34.8835465,128.4143776,248,주영더팰리스2차,24000,7,15,중개거래,202212
258904,경상남도 통영시 광도면 죽림3로 14,84.9892,2013,22,34.8826358,128.4144496,278,주영더팰리스3차,27000,3,1,중개거래,202212
258905,경상남도 통영시 광도면 죽림3로 14,84.9892,2013,15,34.8826358,128.4144496,278,주영더팰리스3차,25200,3,7,중개거래,202212
243376,경상남도 거제시 능포로 199,35.77,1981,2,34.8825042,128.7342647,449,능포대우,8700,0,1,직거래,202211
258902,경상남도 통영시 광도면 죽림2로 9,84.8502,2014,15,34.8818436,128.4141284,280,일성유수안2차,24500,5,4,중개거래,202212
243370,경상남도 거제시 거제중앙로13길 31-1,47.42,1985,5,34.8814277,128.6235497,161,성내,6000,6,21,직거래,202211
258910,경상남도 통영시 광도면 죽림2로 31,84.9635,2009,9,34.8810154,128.4164215,1575,푸르지오3차,31500,0,9,중개거래,202212
243348,경상남도 거제시 거제면 두동로 259-90,84.9604,2017,12,34.8809165,128.5923799,1515,거제오션파크자이,24765,0,9,직거래,202211
243349,경상남도 거제시 거제면 두동로 259-90,84.9435,2017,6,34.8809165,128.5923799,1515,거제오션파크자이,23813,0,15,직거래,202211
243350,경상남도 거제시 거제면 두동로 259-90,84.9435,2017,5,34.8809165,128.5923799,1515,거제오션파크자이,20000,0,19,중개거래,202211
257931,경상남도 거제시 거제면 두동로 259-90,84.9435,2017,14,34.8809165,128.5923799,1515,거제오션파크자이,24043,0,7,직거래,202212
244842,경상남도 통영시 광도면 죽림2로 14-23,59.965,2008,8,34.8794721,128.4143025,292,일성유수안1차,15500,35,5,중개거래,202211
244843,경상남도 통영시 광도면 죽림2로 14-23,84.63,2008,11,34.8794721,128.4143025,292,일성유수안1차,22500,35,18,중개거래,202211
244844,경상남도 통영시 광도면 죽림2로 14-23,59.965,2008,13,34.8794721,128.4143025,292,일성유수안1차,17900,35,25,중개거래,202211
258901,경상남도 통영시 광도면 죽림2로 14-23,59.965,2008,11,34.8794721,128.4143025,292,일성유수안1차,15900,35,11,중개거래,202212
244855,경상남도 통영시 광도면 죽림1로 41-55,84.9283,2005,12,34.8794347,128.4173434,1578,한선파라빌리지,27600,1,22,직거래,202211
244856,경상남도 통영시 광도면 죽림1로 41-55,84.9283,2005,2,34.8794347,128.4173434,1578,한선파라빌리지,20000,1,28,중개거래,202211
258911,경상남도 통영시 광도면 죽림1로 41-55,84.9906,2005,11,34.8794347,128.4173434,1578,한선파라빌리지,21500,1,4,중개거래,202212
244852,경상남도 통영시 광도면 죽림1로 41-42,66.41,2007,2,34.8793014,128.4194102,1579,푸르지오1차,25000,0,1,중개거래,202211
258909,경상남도 통영시 광도면 죽림1로 41-42,84.614,2007,7,34.8793014,128.4194102,1579,푸르지오1차,30000,0,26,중개거래,202212
243374,경상남도 거제시 거제중앙로7길 18,84.563,2004,8,34.8789169,128.6262218,414,주영에이스빌,17000,2,13,중개거래,202211
243423,경상남도 거제시 용소7길 20,79.2801,2005,2,34.8784664,128.691086,890,숲속의아침,10700,0,23,중개거래,202211
257975,경상남도 거제시 용소7길 20,79.2801,2005,14,34.8784664,128.691086,890,숲속의아침,12000,0,1,중개거래,202212
