trade_data_id,area,build-year,day,floor,main-num,name,price,road-name,si-gun-gu,sub-num,trade-type,year-and-month
146403,59.8,1997,14,8,202,송정한신,23000,경강로2539번길 8,강원도 강릉시 견소동,0,중개거래,202206
146404,39.08,1997,17,6,202,송정한신,15800,경강로2539번길 8,강원도 강릉시 견소동,0,중개거래,202206
146405,59.99,2005,3,15,289,송정해변신도브래뉴아파트,29600,경강로2539번길 22,강원도 강릉시 견소동,0,중개거래,202206
146406,84.99,2005,22,6,289,송정해변신도브래뉴아파트,35800,경강로2539번길 22,강원도 강릉시 견소동,0,중개거래,202206
146407,135.1727,2009,26,13,1982,강릉교동롯데캐슬1단지,61000,화부산로99번길 12,강원도 강릉시 교동,0,중개거래,202206
146408,59.89,1999,2,14,1750,교동1주공,32500,가작로 78,강원도 강릉시 교동,0,중개거래,202206
146409,59.89,1999,3,9,1750,교동1주공,30000,가작로 78,강원도 강릉시 교동,0,중개거래,202206
146410,84.84,1999,21,10,1750,교동1주공,39500,가작로 78,강원도 강릉시 교동,0,중개거래,202206
146411,59.89,1999,23,12,1750,교동1주공,29000,가작로 78,강원도 강릉시 교동,0,중개거래,202206
146412,84.84,1999,23,8,1750,교동1주공,39000,가작로 78,강원도 강릉시 교동,0,중개거래,202206
146413,59.84,2002,8,7,1766,교동3주공,33000,교동광장로 138-12,강원도 강릉시 교동,0,중개거래,202206
146414,40.86,1988,28,5,834,덕진,8300,옛강일길 28,강원도 강릉시 교동,0,중개거래,202206
146415,84.93,2001,3,11,1780,부영3차,37000,하슬라로 124,강원도 강릉시 교동,0,중개거래,202206
146416,84.93,2001,8,12,1762,부영5,40000,교동광장로 163,강원도 강릉시 교동,0,중개거래,202206
146417,84.93,2001,11,14,1762,부영5,43000,교동광장로 163,강원도 강릉시 교동,0,중개거래,202206
146418,84.93,2001,11,14,1762,부영5,43000,교동광장로 163,강원도 강릉시 교동,0,중개거래,202206
146419,56.16,1995,4,3,37,예성그린1,12800,가작로252번길 22,강원도 강릉시 교동,3,중개거래,202206
146420,59.84,1997,6,11,46,한신,25500,명륜로 95-7,강원도 강릉시 교동,1,중개거래,202206
