trade_data_id,area,build-year,day,floor,main-num,name,price,road-name,si-gun-gu,sub-num,trade-type,year-and-month
239436,59.99,2005,13,2,289,송정해변신도브래뉴아파트,26000,경강로2539번길 22,강원도 강릉시 견소동,0,중개거래,202211
239437,118.0686,2009,15,3,1983,강릉교동롯데캐슬2단지,47000,화부산로111번길 24,강원도 강릉시 교동,0,직거래,202211
239438,118.0686,2009,27,15,1983,강릉교동롯데캐슬2단지,52000,화부산로111번길 24,강원도 강릉시 교동,0,중개거래,202211
239439,59.84,1997,25,2,18,교동대림,11000,수리골길17번길 21,강원도 강릉시 교동,16,직거래,202211
239440,84.7155,2006,7,12,357,교동이-편한세상,40000,종합운동장길 92,강원도 강릉시 교동,0,직거래,202211
239441,59.58,1999,25,14,1773,부영1,21500,정원로 53-4,강원도 강릉시 교동,0,중개거래,202211
239442,84.93,2001,18,8,1780,부영3차,32000,하슬라로 124,강원도 강릉시 교동,0,중개거래,202211
239443,84.08,1992,10,5,183,삼익그린맨션,21000,홍제로 7-17,강원도 강릉시 남문동,2,중개거래,202211
239444,58.74,1993,4,2,127,남산삼익,9000,남부로125번길 37,강원도 강릉시 내곡동,0,중개거래,202211
239445,58.74,1993,18,1,127,남산삼익,12300,남부로125번길 37,강원도 강릉시 내곡동,0,중개거래,202211
239446,59.84,1998,7,5,469,내곡동현대,17500,범일로 645,강원도 강릉시 내곡동,0,중개거래,202211
239447,84.3,2008,29,12,756,석미모닝파크,21500,남산초교길11번길 12-5,강원도 강릉시 내곡동,0,중개거래,202211
239448,59.994,2000,28,2,605,노암3한라,16000,남부로125번길 7,강원도 강릉시 노암동,0,직거래,202211
239449,59.989,1995,25,8,385,한라2,14700,남부로191번길 21,강원도 강릉시 노암동,0,중개거래,202211
239450,84.9955,2019,20,4,1063,강릉송정한신더휴,39500,경강로 2448,강원도 강릉시 송정동,0,중개거래,202211
239451,54.03,1987,26,2,110,비치소라,11000,팔송길 26,강원도 강릉시 송정동,5,중개거래,202211
239452,56.34,1985,5,5,216,소라임대,11000,송정길 20,강원도 강릉시 송정동,4,중개거래,202211
239453,24.84,1988,14,2,14,해변소라,5700,팔송길18번길 17,강원도 강릉시 송정동,8,직거래,202211
239454,43.2,1999,1,10,305,삼우그린,9000,연주로 132,강원도 강릉시 연곡면 영진리,2,중개거래,202211
239455,30.24,1999,1,6,305,삼우그린,5030,연주로 132,강원도 강릉시 연곡면 영진리,2,중개거래,202211
239456,43.2,1999,28,4,305,삼우그린,8500,연주로 132,강원도 강릉시 연곡면 영진리,2,중개거래,202211
239457,30.24,1999,30,7,305,삼우그린,6700,연주로 132,강원도 강릉시 연곡면 영진리,2,중개거래,202211
239458,59.987,2005,21,4,11,영진부영1,16850,영진3길 38,강원도 강릉시 연곡면 영진리,0,중개거래,202211
239459,59.987,2005,29,2,11,영진부영1,16500,영진3길 38,강원도 강릉시 연곡면 영진리,0,직거래,202211
239460,59.987,2005,12,6,12,영진부영2,21000,영진3길 43,강원도 강릉시 연곡면 영진리,0,중개거래,202211
239461,84.9157,2008,13,1,380,영진부영3,23000,영진3길 15,강원도 강릉시 연곡면 영진리,0,직거래,202211
239462,113.08,1992,28,1,102,영진3,10000,옥천로23번길 11,강원도 강릉시 옥천동,0,중개거래,202211
239463,84.77,2018,1,10,778,엘에이치선수촌8단지,58000,선수촌로 113,강원도 강릉시 유천동,0,중개거래,202211
239464,84.77,2018,23,17,778,엘에이치선수촌8단지,58000,선수촌로 113,강원도 강릉시 유천동,0,중개거래,202211
239465,74.71,2014,6,11,711,강릉더샵,39000,입암로29번길 11,강원도 강릉시 입암동,0,중개거래,202211
239466,59.85,1992,22,5,92,녹원,13500,월대산로 57,강원도 강릉시 입암동,1,중개거래,202211
239467,59.85,2000,22,8,543,에버그린,15500,강변로440번길 30,강원도 강릉시 입암동,3,중개거래,202211
239468,84.7,2006,10,3,210,이안강릉타운,30000,성덕로 316-22,강원도 강릉시 입암동,0,중개거래,202211
239469,59.8,1996,10,8,685,입암4주공,17370,성덕포남로 89,강원도 강릉시 입암동,0,직거래,202211
239470,59.8,1996,14,14,685,입암4주공,18000,성덕포남로 89,강원도 강릉시 입암동,0,중개거래,202211
239471,49.62,1998,17,3,709,입암6주공,13800,성덕포남로 39,강원도 강릉시 입암동,1,직거래,202211
239472,49.62,1998,17,3,709,입암6주공,13900,성덕포남로 39,강원도 강릉시 입암동,1,직거래,202211
239473,49.62,1998,17,10,709,입암6주공,13900,성덕포남로 39,강원도 강릉시 입암동,1,직거래,202211
239474,49.62,1998,17,9,709,입암6주공,13900,성덕포남로 39,강원도 강릉시 입암동,1,직거래,202211
239475,59.99,1998,29,15,709,입암6주공,18800,성덕포남로 39,강원도 강릉시 입암동,1,중개거래,202211
239476,84.904,1998,10,7,440,입암현대,26000,용지로 19,강원도 강릉시 입암동,0,중개거래,202211
239477,84.904,1998,18,1,440,입암현대,26000,용지로 19,강원도 강릉시 입암동,0,중개거래,202211
239478,39.348,1998,15,2,506,태평양임대,6000,강변로410번길 31-5,강원도 강릉시 입암동,5,중개거래,202211
239479,34.722,1998,17,9,506,태평양임대,6000,강변로410번길 31-5,강원도 강릉시 입암동,5,직거래,202211
239480,39.348,1998,28,13,506,태평양임대,7500,강변로410번길 31-5,강원도 강릉시 입암동,5,중개거래,202211
239481,49.85,2000,5,1,1256,교항2주공,11300,연주로 241-7,강원도 강릉시 주문진읍 교항리,0,중개거래,202211
239482,39.51,2000,15,7,1256,교항2주공,8500,연주로 241-7,강원도 강릉시 주문진읍 교항리,0,중개거래,202211
239483,84.8819,2015,14,4,1261,센텀파크디오션(1단지),20900,매맥이윗길 15,강원도 강릉시 주문진읍 교항리,0,중개거래,202211
239484,67.89,1991,7,1,44,소훈,8900,매맥이길 14-3,강원도 강릉시 주문진읍 교항리,1,중개거래,202211
239485,59.94,1994,21,5,38,소훈5,8000,매맥이길 7-2,강원도 강릉시 주문진읍 교항리,2,직거래,202211
239486,59.98,1999,4,7,1166,우신그린피아임대,9000,보리골길 26,강원도 강릉시 주문진읍 교항리,1,직거래,202211
239487,59.98,1999,16,4,1166,우신그린피아임대,8000,보리골길 26,강원도 강릉시 주문진읍 교항리,1,중개거래,202211
239488,49.89,1991,21,4,430,유성,7500,매맥이윗길 12-4,강원도 강릉시 주문진읍 교항리,1,직거래,202211
239489,59.9493,2021,8,15,1269,주문진벽산블루밍오션힐스,21360,장성로 25,강원도 강릉시 주문진읍 교항리,0,직거래,202211
239490,59.8411,2020,16,17,21,주문진서희스타힐스아파트,28900,연주로 281-21,강원도 강릉시 주문진읍 교항리,0,중개거래,202211
239491,44.11,2007,1,2,1585,케이티레파트더블루힐,8000,주문북로 147-32,강원도 강릉시 주문진읍 주문리,0,중개거래,202211
239492,44.11,2007,11,14,1585,케이티레파트더블루힐,9000,주문북로 147-32,강원도 강릉시 주문진읍 주문리,0,중개거래,202211
239493,59.961,1998,24,9,334,덕원임대,10000,죽헌길85번길 25,강원도 강릉시 지변동,0,직거래,202211
239494,55.857,1987,7,4,1278,강릉2,9800,성덕포남로146번길 26,강원도 강릉시 포남동,182,중개거래,202211
239495,128.25,1995,10,2,422,대인4,16500,강릉대로469번길 14,강원도 강릉시 포남동,3,직거래,202211
239496,54.945,1985,17,5,1005,동남,8000,경강로2256번길 12,강원도 강릉시 포남동,248,직거래,202211
239497,54.945,1986,7,2,1005,동남2,5630,경강로2234번길 15,강원도 강릉시 포남동,253,직거래,202211
239498,54.945,1986,8,1,1005,동남2,10500,경강로2234번길 15,강원도 강릉시 포남동,253,중개거래,202211
239499,59.135,1995,19,14,1293,일송,17900,하평3길 37,강원도 강릉시 포남동,1,중개거래,202211
239500,59.135,1995,24,5,1293,일송,18500,하평3길 37,강원도 강릉시 포남동,1,중개거래,202211
239501,41.98,1981,11,5,1065,포남1주공,13000,보래미상길 65,강원도 강릉시 포남동,0,직거래,202211
239502,41.98,1981,21,1,1065,포남1주공,12300,보래미상길 65,강원도 강릉시 포남동,0,중개거래,202211
239503,39.69,1989,8,1,1200,포남2주공,15000,산양큰길 37,강원도 강릉시 포남동,0,중개거래,202211
239504,59.8,1994,28,1,125,미성,9000,토성로 55,강원도 강릉시 홍제동,1,직거래,202211
239505,59.95,2018,6,19,1044,엘에이치미디어촌6단지,33000,선수촌로 10,강원도 강릉시 홍제동,0,중개거래,202211
239506,59.78,2018,12,3,1044,엘에이치미디어촌6단지,29000,선수촌로 10,강원도 강릉시 홍제동,0,중개거래,202211
239507,59.98,2018,19,3,1044,엘에이치미디어촌6단지,29000,선수촌로 10,강원도 강릉시 홍제동,0,중개거래,202211
239508,59.78,2018,30,11,1044,엘에이치미디어촌6단지,30000,선수촌로 10,강원도 강릉시 홍제동,0,중개거래,202211
239509,59.96,2015,1,16,1055,홍제한신휴플러스,28000,토성로 56,강원도 강릉시 홍제동,0,중개거래,202211
239510,39.6,1998,3,5,483,간성대명,6600,수성로 126-5,강원도 고성군 간성읍 상리,1,중개거래,202211
239511,59.4,1998,3,1,483,간성대명,8200,수성로 126-5,강원도 고성군 간성읍 상리,1,중개거래,202211
239512,39.6,1998,7,2,483,간성대명,6000,수성로 126-5,강원도 고성군 간성읍 상리,1,중개거래,202211
239513,59.68,1998,5,14,111,고성삼익레스타운,12500,남천마루2길 6,강원도 고성군 간성읍 신안리,0,중개거래,202211
239514,39.36,1998,9,4,111,고성삼익레스타운,5900,남천마루2길 6,강원도 고성군 간성읍 신안리,0,중개거래,202211
239515,59.68,1998,30,15,111,고성삼익레스타운,10900,남천마루2길 6,강원도 고성군 간성읍 신안리,0,중개거래,202211
239516,41.75,1989,14,5,183,동해1,7000,간성로39번길 23,강원도 고성군 간성읍 신안리,0,중개거래,202211
239517,75.7237,2021,17,17,476,고성천진한신더휴,35000,천진7길 29,강원도 고성군 토성면 천진리,0,중개거래,202211
239518,84.5525,1995,3,16,442,"대동1,2차",12900,청운1길 29,강원도 동해시 동회동,0,중개거래,202211
239519,84.5525,1995,11,1,442,"대동1,2차",11558,청운1길 29,강원도 동해시 동회동,0,직거래,202211
239520,45,1995,14,1,442,"대동1,2차",5500,청운1길 29,강원도 동해시 동회동,0,직거래,202211
239521,84.5525,1995,18,16,442,"대동1,2차",12900,청운1길 29,강원도 동해시 동회동,0,중개거래,202211
239522,45,1995,19,1,442,"대동1,2차",6250,청운1길 29,강원도 동해시 동회동,0,중개거래,202211
239523,45,1996,1,11,442,대동3차,6900,청운1길 29,강원도 동해시 동회동,0,중개거래,202211
239524,73.4675,1998,1,4,442,현대4차,12500,청운1길 29,강원도 동해시 동회동,0,직거래,202211
239525,77.7562,1999,25,17,442,현대5차,15300,청운1길 29,강원도 동해시 동회동,0,직거래,202211
239526,46.54,1991,28,5,233,강경,4450,지리골길 36,강원도 동해시 발한동,67,직거래,202211
239527,53.14,1990,14,4,599,경민1차,5000,수원지2길 18-13,강원도 동해시 발한동,45,중개거래,202211
239528,59.956,1999,5,5,188,대창,6200,향로3길 43,강원도 동해시 발한동,0,중개거래,202211
239529,50.85,1991,13,1,516,삼화,3500,동호3길 47,강원도 동해시 발한동,1,직거래,202211
239530,161.49,1996,1,6,183,성남2차,18500,발한로 142,강원도 동해시 발한동,0,직거래,202211
239531,61.56,1987,21,2,9,동성,5650,부곡4길 26,강원도 동해시 부곡동,2,중개거래,202211
239532,57.43,1981,9,2,73,동해,4150,가마골길 42-10,강원도 동해시 부곡동,1,중개거래,202211
239533,57.43,1981,21,1,73,동해,3800,가마골길 42-10,강원도 동해시 부곡동,1,직거래,202211
239534,32.11,1986,15,4,112,삼정(다라),3700,부곡3길 22,강원도 동해시 부곡동,0,중개거래,202211
239535,44.28,1986,16,1,112,삼정(다라),5100,부곡3길 22,강원도 동해시 부곡동,0,중개거래,202211
239536,69.21,1990,12,3,64,성협1차,4800,수원지1길 16,강원도 동해시 부곡동,0,중개거래,202211
239537,59.88,1994,23,7,86,승우2차,4000,부곡2길 7,강원도 동해시 부곡동,5,직거래,202211
239538,78.88,2020,11,13,327,e편한세상동해,30000,단봉길 39,강원도 동해시 북평동,0,중개거래,202211
239539,59.02,1992,28,2,233,성협4차,5300,단봉길 6,강원도 동해시 북평동,0,직거래,202211
239540,49.95,2012,2,3,1100,아름다운아침,6800,효자로 572-1,강원도 동해시 쇄운동,0,중개거래,202211
239541,60,2012,24,14,1100,아름다운아침,9400,효자로 572-1,강원도 동해시 쇄운동,0,중개거래,202211
239542,59.92,1996,5,4,260,범주성지,10500,초원2길 5,강원도 동해시 용정동,2,중개거래,202211
