trade_data_id,address,area,build-year,day,floor,main-num,name,price,sub-num,trade-type,year-and-month
260287,대구광역시 달서구 도원로 46,59.76,1996,3,13,1442,별메마을,12400,0,중개거래,202212
260288,대구광역시 달서구 도원로 46,49.67,1996,10,4,1442,별메마을,12000,0,중개거래,202212
260289,대구광역시 달서구 도원로 46,59.76,1996,16,5,1442,별메마을,12200,0,중개거래,202212
260290,대구광역시 달서구 도원남로 40,58.14,1996,6,9,1457,산새마을,12000,0,중개거래,202212
260291,대구광역시 달서구 한실로 49,59.76,1996,5,8,1429,한실들마을,14000,0,중개거래,202212
260292,대구광역시 달서구 한실로 49,39.87,1996,16,19,1429,한실들마을,10700,0,중개거래,202212
260293,대구광역시 달서구 야외음악당로39길 54,75.8795,2002,5,17,486,삼정그린빌,44000,2,직거래,202212
260294,대구광역시 달서구 구마로36길 20,69.43,1986,9,2,247,그린맨션2차,22200,0,중개거래,202212
260295,대구광역시 달서구 구마로12길 89,38.64,1992,3,14,616,월성주공5,9990,0,중개거래,202212
260296,대구광역시 달서구 구마로12길 89,44.94,1992,20,3,616,월성주공5,14700,0,직거래,202212
260297,대구광역시 달서구 당산로 17,59.87,2020,1,6,1222,더샵달서센트럴,35000,0,중개거래,202212
260298,대구광역시 달서구 당산로 17,84.97,2020,3,18,1222,더샵달서센트럴,47500,0,중개거래,202212
260299,대구광역시 달서구 당산로 17,59.87,2020,9,8,1222,더샵달서센트럴,35000,0,중개거래,202212
260300,대구광역시 달서구 당산로 17,59.87,2020,13,11,1222,더샵달서센트럴,36400,0,중개거래,202212
260301,대구광역시 달서구 당산로 17,59.87,2020,13,6,1222,더샵달서센트럴,35000,0,중개거래,202212
260302,대구광역시 달서구 당산로 17,59.87,2020,20,2,1222,더샵달서센트럴,34300,0,중개거래,202212
260303,대구광역시 달서구 당산로 17,59.87,2020,20,14,1222,더샵달서센트럴,36800,0,중개거래,202212
260304,대구광역시 달서구 장기로 189,77.03,2009,1,4,74,성당래미안e-편한세상1단지,29900,1,중개거래,202212
260305,대구광역시 달서구 장기로 145,84.88,2009,2,1,76,성당래미안e-편한세상2단지,33000,1,중개거래,202212
260306,대구광역시 달서구 장기로 145,84.95,2009,3,14,76,성당래미안e-편한세상2단지,33500,1,중개거래,202212
260307,대구광역시 달서구 장기로 145,84.95,2009,13,11,76,성당래미안e-편한세상2단지,32500,1,중개거래,202212
260308,대구광역시 달서구 와룡로13길 37,84.66,2020,16,5,657,신본리동서프라임S,35000,3,직거래,202212
260309,대구광역시 달서구 상인서로 75,84.98,1993,5,10,1515,보성,31000,0,중개거래,202212
260310,대구광역시 달서구 월곡로 320,84.96,1994,9,19,42,보성은하,35000,0,중개거래,202212
260311,대구광역시 달서구 월배로34길 27,59.94,1994,13,9,351,삼미타운,13700,2,중개거래,202212
260312,대구광역시 달서구 상화북로 162,59.98,2019,9,20,1600,상인역모아엘가파크뷰,35100,0,중개거래,202212
260313,대구광역시 달서구 상화북로 162,59.98,2019,9,15,1600,상인역모아엘가파크뷰,34800,0,중개거래,202212
260314,대구광역시 달서구 상화북로 162,59.99,2019,16,15,1600,상인역모아엘가파크뷰,33200,0,중개거래,202212
260315,대구광역시 달서구 상화북로 162,59.98,2019,16,24,1600,상인역모아엘가파크뷰,35400,0,중개거래,202212
260316,대구광역시 달서구 상화북로 162,59.98,2019,16,23,1600,상인역모아엘가파크뷰,35700,0,중개거래,202212
260317,대구광역시 달서구 상화북로 162,59.98,2019,16,18,1600,상인역모아엘가파크뷰,35100,0,중개거래,202212
260318,대구광역시 달서구 상화북로 162,72.96,2019,19,15,1600,상인역모아엘가파크뷰,37700,0,중개거래,202212
260319,대구광역시 달서구 상화북로 162,59.98,2019,20,23,1600,상인역모아엘가파크뷰,35600,0,중개거래,202212
260320,대구광역시 달서구 상화북로 162,72.96,2019,20,16,1600,상인역모아엘가파크뷰,38000,0,중개거래,202212
260321,대구광역시 달서구 상화북로 162,72.91,2019,20,18,1600,상인역모아엘가파크뷰,38000,0,중개거래,202212
260322,대구광역시 달서구 상화북로 162,72.91,2019,20,15,1600,상인역모아엘가파크뷰,38000,0,중개거래,202212
260323,대구광역시 달서구 상화북로 162,59.98,2019,20,18,1600,상인역모아엘가파크뷰,35100,0,중개거래,202212
260324,대구광역시 달서구 상화북로 162,59.99,2019,20,17,1600,상인역모아엘가파크뷰,33500,0,중개거래,202212
260325,대구광역시 달서구 상화북로 162,59.98,2019,20,17,1600,상인역모아엘가파크뷰,35100,0,중개거래,202212
260326,대구광역시 달서구 상화북로 162,59.99,2019,20,18,1600,상인역모아엘가파크뷰,33500,0,중개거래,202212
260327,대구광역시 달서구 상화북로 162,59.98,2019,21,17,1600,상인역모아엘가파크뷰,35100,0,중개거래,202212
260328,대구광역시 달서구 상화북로 162,59.98,2019,21,25,1600,상인역모아엘가파크뷰,35400,0,중개거래,202212
260329,대구광역시 달서구 상화북로 162,59.98,2019,21,21,1600,상인역모아엘가파크뷰,35100,0,중개거래,202212
260330,대구광역시 달서구 상화북로 162,59.98,2019,21,20,1600,상인역모아엘가파크뷰,35100,0,중개거래,202212
260331,대구광역시 달서구 상화북로 162,59.98,2019,21,19,1600,상인역모아엘가파크뷰,35100,0,중개거래,202212
260332,대구광역시 달서구 상화북로 162,72.96,2019,23,16,1600,상인역모아엘가파크뷰,37700,0,중개거래,202212
260333,대구광역시 달서구 월곡로 291,155.295,1997,13,9,72,상인중석타운,36000,1,직거래,202212
260334,대구광역시 달서구 송현로7길 10,84.99,2010,6,14,1596,상인화성파크드림1단지,38000,0,중개거래,202212
260335,대구광역시 달서구 상인서로 46,59.92,1993,24,10,1521,서한,17500,0,중개거래,202212
260336,대구광역시 달서구 상화로 380,43.2,1993,20,12,1592,시영장미4,9650,0,중개거래,202212
