id,address,legal_code
151,서울특별시 중구 저동2가,1114016100
152,서울특별시 중구 신당동,1114016200
153,서울특별시 중구 흥인동,1114016300
154,서울특별시 중구 무학동,1114016400
155,서울특별시 중구 황학동,1114016500
156,서울특별시 중구 서소문동,1114016600
157,서울특별시 중구 정동,1114016700
158,서울특별시 중구 순화동,1114016800
159,서울특별시 중구 의주로1가,1114016900
160,서울특별시 중구 충정로1가,1114017000
161,서울특별시 중구 중림동,1114017100
162,서울특별시 중구 의주로2가,1114017200
163,서울특별시 중구 만리동1가,1114017300
164,서울특별시 중구 만리동2가,1114017400
165,서울특별시 용산구,1117000000
166,서울특별시 용산구 후암동,1117010100
167,서울특별시 용산구 용산동2가,1117010200
168,서울특별시 용산구 용산동4가,1117010300
169,서울특별시 용산구 갈월동,1117010400
170,서울특별시 용산구 남영동,1117010500
171,서울특별시 용산구 용산동1가,1117010600
172,서울특별시 용산구 동자동,1117010700
173,서울특별시 용산구 서계동,1117010800
174,서울특별시 용산구 청파동1가,1117010900
175,서울특별시 용산구 청파동2가,1117011000
176,서울특별시 용산구 청파동3가,1117011100
177,서울특별시 용산구 원효로1가,1117011200
178,서울특별시 용산구 원효로2가,1117011300
179,서울특별시 용산구 신창동,1117011400
180,서울특별시 용산구 산천동,1117011500
181,서울특별시 용산구 청암동,1117011600
182,서울특별시 용산구 원효로3가,1117011700
183,서울특별시 용산구 원효로4가,1117011800
184,서울특별시 용산구 효창동,1117011900
185,서울특별시 용산구 도원동,1117012000
186,서울특별시 용산구 용문동,1117012100
187,서울특별시 용산구 문배동,1117012200
188,서울특별시 용산구 신계동,1117012300
189,서울특별시 용산구 한강로1가,1117012400
190,서울특별시 용산구 한강로2가,1117012500
191,서울특별시 용산구 용산동3가,1117012600
192,서울특별시 용산구 용산동5가,1117012700
193,서울특별시 용산구 한강로3가,1117012800
194,서울특별시 용산구 이촌동,1117012900
195,서울특별시 용산구 이태원동,1117013000
196,서울특별시 용산구 한남동,1117013100
197,서울특별시 용산구 동빙고동,1117013200
198,서울특별시 용산구 서빙고동,1117013300
199,서울특별시 용산구 주성동,1117013400
200,서울특별시 용산구 용산동6가,1117013500
201,서울특별시 용산구 보광동,1117013600
202,서울특별시 성동구,1120000000
203,서울특별시 성동구 상왕십리동,1120010100
204,서울특별시 성동구 하왕십리동,1120010200
205,서울특별시 성동구 홍익동,1120010300
206,서울특별시 성동구 도선동,1120010400
207,서울특별시 성동구 마장동,1120010500
208,서울특별시 성동구 사근동,1120010600
209,서울특별시 성동구 행당동,1120010700
210,서울특별시 성동구 응봉동,1120010800
211,서울특별시 성동구 금호동1가,1120010900
212,서울특별시 성동구 금호동2가,1120011000
213,서울특별시 성동구 금호동3가,1120011100
214,서울특별시 성동구 금호동4가,1120011200
215,서울특별시 성동구 옥수동,1120011300
216,서울특별시 성동구 성수동1가,1120011400
217,서울특별시 성동구 성수동2가,1120011500
218,서울특별시 성동구 송정동,1120011800
219,서울특별시 성동구 용답동,1120012200
220,서울특별시 광진구,1121500000
221,서울특별시 광진구 중곡동,1121510100
222,서울특별시 광진구 능동,1121510200
223,서울특별시 광진구 구의동,1121510300
224,서울특별시 광진구 광장동,1121510400
225,서울특별시 광진구 자양동,1121510500
226,서울특별시 광진구 화양동,1121510700
227,서울특별시 광진구 군자동,1121510900
228,서울특별시 동대문구,1123000000
229,서울특별시 동대문구 신설동,1123010100
230,서울특별시 동대문구 용두동,1123010200
231,서울특별시 동대문구 제기동,1123010300
232,서울특별시 동대문구 전농동,1123010400
233,서울특별시 동대문구 답십리동,1123010500
234,서울특별시 동대문구 장안동,1123010600
235,서울특별시 동대문구 청량리동,1123010700
236,서울특별시 동대문구 회기동,1123010800
237,서울특별시 동대문구 휘경동,1123010900
238,서울특별시 동대문구 이문동,1123011000
239,서울특별시 중랑구,1126000000
240,서울특별시 중랑구 면목동,1126010100
241,서울특별시 중랑구 상봉동,1126010200
242,서울특별시 중랑구 중화동,1126010300
243,서울특별시 중랑구 묵동,1126010400
244,서울특별시 중랑구 망우동,1126010500
245,서울특별시 중랑구 신내동,1126010600
246,서울특별시 성북구,1129000000
247,서울특별시 성북구 성북동,1129010100
248,서울특별시 성북구 성북동1가,1129010200
249,서울특별시 성북구 돈암동,1129010300
250,서울특별시 성북구 동소문동1가,1129010400
251,서울특별시 성북구 동소문동2가,1129010500
252,서울특별시 성북구 동소문동3가,1129010600
253,서울특별시 성북구 동소문동4가,1129010700
254,서울특별시 성북구 동소문동5가,1129010800
255,서울특별시 성북구 동소문동6가,1129010900
256,서울특별시 성북구 동소문동7가,1129011000
257,서울특별시 성북구 삼선동1가,1129011100
258,서울특별시 성북구 삼선동2가,1129011200
259,서울특별시 성북구 삼선동3가,1129011300
260,서울특별시 성북구 삼선동4가,1129011400
261,서울특별시 성북구 삼선동5가,1129011500
262,서울특별시 성북구 동선동1가,1129011600
263,서울특별시 성북구 동선동2가,1129011700
264,서울특별시 성북구 동선동3가,1129011800
265,서울특별시 성북구 동선동4가,1129011900
266,서울특별시 성북구 동선동5가,1129012000
267,서울특별시 성북구 안암동1가,1129012100
268,서울특별시 성북구 안암동2가,1129012200
269,서울특별시 성북구 안암동3가,1129012300
270,서울특별시 성북구 안암동4가,1129012400
271,서울특별시 성북구 안암동5가,1129012500
272,서울특별시 성북구 보문동4가,1129012600
273,서울특별시 성북구 보문동5가,1129012700
274,서울특별시 성북구 보문동6가,1129012800
275,서울특별시 성북구 보문동7가,1129012900
276,서울특별시 성북구 보문동1가,1129013000
277,서울특별시 성북구 보문동2가,1129013100
278,서울특별시 성북구 보문동3가,1129013200
279,서울특별시 성북구 정릉동,1129013300
280,서울특별시 성북구 길음동,1129013400
281,서울특별시 성북구 종암동,1129013500
282,서울특별시 성북구 하월곡동,1129013600
283,서울특별시 성북구 상월곡동,1129013700
284,서울특별시 성북구 장위동,1129013800
285,서울특별시 성북구 석관동,1129013900
286,서울특별시 강북구,1130500000
287,서울특별시 강북구 미아동,1130510100
288,서울특별시 강북구 번동,1130510200
289,서울특별시 강북구 수유동,1130510300
290,서울특별시 강북구 우이동,1130510400
291,서울특별시 도봉구,1132000000
292,서울특별시 도봉구 쌍문동,1132010500
293,서울특별시 도봉구 방학동,1132010600
294,서울특별시 도봉구 창동,1132010700
295,서울특별시 도봉구 도봉동,1132010800
296,서울특별시 노원구,1135000000
297,서울특별시 노원구 월계동,1135010200
298,서울특별시 노원구 공릉동,1135010300
299,서울특별시 노원구 하계동,1135010400
300,서울특별시 노원구 상계동,1135010500
301,서울특별시 노원구 중계동,1135010600
302,서울특별시 은평구,1138000000
303,서울특별시 은평구 수색동,1138010100
304,서울특별시 은평구 녹번동,1138010200
305,서울특별시 은평구 불광동,1138010300
306,서울특별시 은평구 갈현동,1138010400
307,서울특별시 은평구 구산동,1138010500
308,서울특별시 은평구 대조동,1138010600
309,서울특별시 은평구 응암동,1138010700
310,서울특별시 은평구 역촌동,1138010800
311,서울특별시 은평구 신사동,1138010900
312,서울특별시 은평구 증산동,1138011000
313,서울특별시 은평구 진관동,1138011400
314,서울특별시 서대문구,1141000000
315,서울특별시 서대문구 충정로2가,1141010100
316,서울특별시 서대문구 충정로3가,1141010200
317,서울특별시 서대문구 합동,1141010300
318,서울특별시 서대문구 미근동,1141010400
319,서울특별시 서대문구 냉천동,1141010500
320,서울특별시 서대문구 천연동,1141010600
321,서울특별시 서대문구 옥천동,1141010700
322,서울특별시 서대문구 영천동,1141010800
323,서울특별시 서대문구 현저동,1141010900
324,서울특별시 서대문구 북아현동,1141011000
325,서울특별시 서대문구 홍제동,1141011100
326,서울특별시 서대문구 대현동,1141011200
327,서울특별시 서대문구 대신동,1141011300
328,서울특별시 서대문구 신촌동,1141011400
329,서울특별시 서대문구 봉원동,1141011500
330,서울특별시 서대문구 창천동,1141011600
331,서울특별시 서대문구 연희동,1141011700
332,서울특별시 서대문구 홍은동,1141011800
333,서울특별시 서대문구 북가좌동,1141011900
334,서울특별시 서대문구 남가좌동,1141012000
335,서울특별시 마포구,1144000000
336,서울특별시 마포구 아현동,1144010100
337,서울특별시 마포구 공덕동,1144010200
338,서울특별시 마포구 신공덕동,1144010300
339,서울특별시 마포구 도화동,1144010400
340,서울특별시 마포구 용강동,1144010500
341,서울특별시 마포구 토정동,1144010600
342,서울특별시 마포구 마포동,1144010700
343,서울특별시 마포구 대흥동,1144010800
344,서울특별시 마포구 염리동,1144010900
345,서울특별시 마포구 노고산동,1144011000
346,서울특별시 마포구 신수동,1144011100
347,서울특별시 마포구 현석동,1144011200
348,서울특별시 마포구 구수동,1144011300
349,서울특별시 마포구 창전동,1144011400
350,서울특별시 마포구 상수동,1144011500
351,서울특별시 마포구 하중동,1144011600
352,서울특별시 마포구 신정동,1144011700
353,서울특별시 마포구 당인동,1144011800
354,서울특별시 마포구 서교동,1144012000
355,서울특별시 마포구 동교동,1144012100
356,서울특별시 마포구 합정동,1144012200
357,서울특별시 마포구 망원동,1144012300
358,서울특별시 마포구 연남동,1144012400
359,서울특별시 마포구 성산동,1144012500
360,서울특별시 마포구 중동,1144012600
361,서울특별시 마포구 상암동,1144012700
362,서울특별시 양천구,1147000000
363,서울특별시 양천구 신정동,1147010100
364,서울특별시 양천구 목동,1147010200
365,서울특별시 양천구 신월동,1147010300
366,서울특별시 강서구,1150000000
367,서울특별시 강서구 염창동,1150010100
368,서울특별시 강서구 등촌동,1150010200
369,서울특별시 강서구 화곡동,1150010300
370,서울특별시 강서구 가양동,1150010400
371,서울특별시 강서구 마곡동,1150010500
372,서울특별시 강서구 내발산동,1150010600
373,서울특별시 강서구 외발산동,1150010700
374,서울특별시 강서구 공항동,1150010800
375,서울특별시 강서구 방화동,1150010900
376,서울특별시 강서구 개화동,1150011000
377,서울특별시 강서구 과해동,1150011100
378,서울특별시 강서구 오곡동,1150011200
379,서울특별시 강서구 오쇠동,1150011300
380,서울특별시 구로구,1153000000
381,서울특별시 구로구 신도림동,1153010100
382,서울특별시 구로구 구로동,1153010200
383,서울특별시 구로구 가리봉동,1153010300
384,서울특별시 구로구 고척동,1153010600
385,서울특별시 구로구 개봉동,1153010700
386,서울특별시 구로구 오류동,1153010800
387,서울특별시 구로구 궁동,1153010900
388,서울특별시 구로구 온수동,1153011000
389,서울특별시 구로구 천왕동,1153011100
390,서울특별시 구로구 항동,1153011200
391,서울특별시 금천구,1154500000
392,서울특별시 금천구 가산동,1154510100
393,서울특별시 금천구 독산동,1154510200
394,서울특별시 금천구 시흥동,1154510300
395,서울특별시 영등포구,1156000000
396,서울특별시 영등포구 영등포동,1156010100
397,서울특별시 영등포구 영등포동1가,1156010200
398,서울특별시 영등포구 영등포동2가,1156010300
399,서울특별시 영등포구 영등포동3가,1156010400
400,서울특별시 영등포구 영등포동4가,1156010500
401,서울특별시 영등포구 영등포동5가,1156010600
402,서울특별시 영등포구 영등포동6가,1156010700
403,서울특별시 영등포구 영등포동7가,1156010800
404,서울특별시 영등포구 영등포동8가,1156010900
405,서울특별시 영등포구 여의도동,1156011000
406,서울특별시 영등포구 당산동1가,1156011100
407,서울특별시 영등포구 당산동2가,1156011200
408,서울특별시 영등포구 당산동3가,1156011300
409,서울특별시 영등포구 당산동4가,1156011400
410,서울특별시 영등포구 당산동5가,1156011500
411,서울특별시 영등포구 당산동6가,1156011600
412,서울특별시 영등포구 당산동,1156011700
413,서울특별시 영등포구 도림동,1156011800
414,서울특별시 영등포구 문래동1가,1156011900
415,서울특별시 영등포구 문래동2가,1156012000
416,서울특별시 영등포구 문래동3가,1156012100
417,서울특별시 영등포구 문래동4가,1156012200
418,서울특별시 영등포구 문래동5가,1156012300
419,서울특별시 영등포구 문래동6가,1156012400
420,서울특별시 영등포구 양평동1가,1156012500
421,서울특별시 영등포구 양평동2가,1156012600
422,서울특별시 영등포구 양평동3가,1156012700
423,서울특별시 영등포구 양평동4가,1156012800
424,서울특별시 영등포구 양평동5가,1156012900
425,서울특별시 영등포구 양평동6가,1156013000
426,서울특별시 영등포구 양화동,1156013100
427,서울특별시 영등포구 신길동,1156013200
428,서울특별시 영등포구 대림동,1156013300
429,서울특별시 영등포구 양평동,1156013400
430,서울특별시 동작구,1159000000
431,서울특별시 동작구 노량진동,1159010100
432,서울특별시 동작구 상도동,1159010200
433,서울특별시 동작구 상도1동,1159010300
434,서울특별시 동작구 본동,1159010400
435,서울특별시 동작구 흑석동,1159010500
436,서울특별시 동작구 동작동,1159010600
437,서울특별시 동작구 사당동,1159010700
438,서울특별시 동작구 대방동,1159010800
439,서울특별시 동작구 신대방동,1159010900
440,서울특별시 관악구,1162000000
441,서울특별시 관악구 봉천동,1162010100
442,서울특별시 관악구 신림동,1162010200
443,서울특별시 관악구 남현동,1162010300
444,서울특별시 서초구,1165000000
445,서울특별시 서초구 방배동,1165010100
446,서울특별시 서초구 양재동,1165010200
447,서울특별시 서초구 우면동,1165010300
448,서울특별시 서초구 원지동,1165010400
449,서울특별시 서초구 잠원동,1165010600
450,서울특별시 서초구 반포동,1165010700
451,서울특별시 서초구 서초동,1165010800
452,서울특별시 서초구 내곡동,1165010900
453,서울특별시 서초구 염곡동,1165011000
454,서울특별시 서초구 신원동,1165011100
455,서울특별시 강남구,1168000000
456,서울특별시 강남구 역삼동,1168010100
457,서울특별시 강남구 개포동,1168010300
458,서울특별시 강남구 청담동,1168010400
459,서울특별시 강남구 삼성동,1168010500
460,서울특별시 강남구 대치동,1168010600
461,서울특별시 강남구 신사동,1168010700
462,서울특별시 강남구 논현동,1168010800
463,서울특별시 강남구 압구정동,1168011000
464,서울특별시 강남구 세곡동,1168011100
465,서울특별시 강남구 자곡동,1168011200
466,서울특별시 강남구 율현동,1168011300
467,서울특별시 강남구 일원동,1168011400
468,서울특별시 강남구 수서동,1168011500
469,서울특별시 강남구 도곡동,1168011800
470,서울특별시 송파구,1171000000
471,서울특별시 송파구 잠실동,1171010100
472,서울특별시 송파구 신천동,1171010200
473,서울특별시 송파구 풍납동,1171010300
474,서울특별시 송파구 송파동,1171010400
475,서울특별시 송파구 석촌동,1171010500
476,서울특별시 송파구 삼전동,1171010600
477,서울특별시 송파구 가락동,1171010700
478,서울특별시 송파구 문정동,1171010800
479,서울특별시 송파구 장지동,1171010900
480,서울특별시 송파구 방이동,1171011100
481,서울특별시 송파구 오금동,1171011200
482,서울특별시 송파구 거여동,1171011300
483,서울특별시 송파구 마천동,1171011400
484,서울특별시 강동구,1174000000
485,서울특별시 강동구 명일동,1174010100
486,서울특별시 강동구 고덕동,1174010200
487,서울특별시 강동구 상일동,1174010300
488,서울특별시 강동구 길동,1174010500
489,서울특별시 강동구 둔촌동,1174010600
490,서울특별시 강동구 암사동,1174010700
491,서울특별시 강동구 성내동,1174010800
492,서울특별시 강동구 천호동,1174010900
493,서울특별시 강동구 강일동,1174011000
494,부산광역시,2600000000
495,부산광역시 중구,2611000000
496,부산광역시 중구 영주동,2611010100
497,부산광역시 중구 대창동1가,2611010200
498,부산광역시 중구 대창동2가,2611010300
499,부산광역시 중구 중앙동1가,2611010400
500,부산광역시 중구 중앙동2가,2611010500
501,부산광역시 중구 중앙동3가,2611010600
502,부산광역시 중구 중앙동4가,2611010700
503,부산광역시 중구 중앙동5가,2611010800
504,부산광역시 중구 중앙동6가,2611010900
505,부산광역시 중구 중앙동7가,2611011000
506,부산광역시 중구 동광동1가,2611011100
507,부산광역시 중구 동광동2가,2611011200
508,부산광역시 중구 동광동3가,2611011300
509,부산광역시 중구 동광동4가,2611011400
510,부산광역시 중구 동광동5가,2611011500
511,부산광역시 중구 대청동1가,2611011600
512,부산광역시 중구 대청동2가,2611011700
513,부산광역시 중구 대청동3가,2611011800
514,부산광역시 중구 대청동4가,2611011900
515,부산광역시 중구 보수동1가,2611012000
516,부산광역시 중구 보수동2가,2611012100
517,부산광역시 중구 보수동3가,2611012200
518,부산광역시 중구 부평동1가,2611012300
519,부산광역시 중구 부평동2가,2611012400
520,부산광역시 중구 부평동3가,2611012500
521,부산광역시 중구 부평동4가,2611012600
522,부산광역시 중구 신창동1가,2611012700
523,부산광역시 중구 신창동2가,2611012800
524,부산광역시 중구 신창동3가,2611012900
525,부산광역시 중구 신창동4가,2611013000
526,부산광역시 중구 창선동1가,2611013100
527,부산광역시 중구 창선동2가,2611013200
528,부산광역시 중구 광복동1가,2611013300
529,부산광역시 중구 광복동2가,2611013400
