trade_data_id,area,build-year,day,floor,main-num,name,price,road-name,si-gun-gu,sub-num,trade-type,year-and-month
188436,84.945,1997,4,1,202,송정한신,26000,경강로2539번길 8,강원도 강릉시 견소동,0,중개거래,202208
188437,43.38,1997,20,12,202,송정한신,16500,경강로2539번길 8,강원도 강릉시 견소동,0,중개거래,202208
188438,59.99,2005,8,13,289,송정해변신도브래뉴아파트,28500,경강로2539번길 22,강원도 강릉시 견소동,0,중개거래,202208
188439,84.99,2005,12,9,289,송정해변신도브래뉴아파트,36000,경강로2539번길 22,강원도 강릉시 견소동,0,직거래,202208
188440,59.99,2005,18,7,289,송정해변신도브래뉴아파트,27000,경강로2539번길 22,강원도 강릉시 견소동,0,중개거래,202208
188441,135.1727,2009,16,3,1982,강릉교동롯데캐슬1단지,58000,화부산로99번길 12,강원도 강릉시 교동,0,중개거래,202208
188442,84.9855,2009,18,12,1983,강릉교동롯데캐슬2단지,48500,화부산로111번길 24,강원도 강릉시 교동,0,중개거래,202208
188443,84.9855,2009,24,14,1983,강릉교동롯데캐슬2단지,50000,화부산로111번길 24,강원도 강릉시 교동,0,중개거래,202208
188444,84.84,1999,13,14,1750,교동1주공,39500,가작로 78,강원도 강릉시 교동,0,중개거래,202208
188445,51.66,1987,12,3,37,교동임대,9800,명륜로 109-4,강원도 강릉시 교동,11,중개거래,202208
188446,40.86,1988,17,2,834,덕진,8500,옛강일길 28,강원도 강릉시 교동,0,중개거래,202208
188447,48.6,1987,22,3,318,매화임대,12500,율곡로2968번길 26,강원도 강릉시 교동,4,중개거래,202208
188448,27.75,1987,24,1,348,서일2,7000,수리골길17번길 35,강원도 강릉시 교동,6,중개거래,202208
188449,71.175,1992,17,7,828,현대,14800,옛강일길 41,강원도 강릉시 교동,19,중개거래,202208
188450,24.795,1988,3,1,616,강부2,5800,관대길 63,강원도 강릉시 내곡동,0,중개거래,202208
188451,49.94,1992,25,5,75,관동2,7700,남산초교길12번길 11,강원도 강릉시 내곡동,1,중개거래,202208
188452,59.84,1998,5,3,469,내곡동현대,19500,범일로 645,강원도 강릉시 내곡동,0,중개거래,202208
188453,59.84,1998,13,16,469,내곡동현대,18000,범일로 645,강원도 강릉시 내곡동,0,직거래,202208
