trade_data_id,area,build-year,day,floor,main-num,name,price,road-name,si-gun-gu,sub-num,trade-type,year-and-month
46844,59.8,1997,7,3,202,송정한신,18000,경강로2539번길 8,강원도 강릉시 견소동,0,중개거래,202203
46845,59.8,1997,8,8,202,송정한신,21000,경강로2539번길 8,강원도 강릉시 견소동,0,중개거래,202203
46846,84.945,1997,26,10,202,송정한신,25500,경강로2539번길 8,강원도 강릉시 견소동,0,중개거래,202203
46847,84.99,2005,14,1,289,송정해변신도브래뉴아파트,33500,경강로2539번길 22,강원도 강릉시 견소동,0,중개거래,202203
46848,59.99,2005,18,13,289,송정해변신도브래뉴아파트,27000,경강로2539번길 22,강원도 강릉시 견소동,0,중개거래,202203
46849,84.99,2005,21,13,289,송정해변신도브래뉴아파트,37400,경강로2539번길 22,강원도 강릉시 견소동,0,중개거래,202203
46850,135.1727,2009,14,3,1982,강릉교동롯데캐슬1단지,58000,화부산로99번길 12,강원도 강릉시 교동,0,중개거래,202203
46851,118.0686,2009,2,13,1983,강릉교동롯데캐슬2단지,53500,화부산로111번길 24,강원도 강릉시 교동,0,중개거래,202203
46852,59.89,1999,10,9,1750,교동1주공,26800,가작로 78,강원도 강릉시 교동,0,중개거래,202203
46853,84.84,1999,11,8,1750,교동1주공,34900,가작로 78,강원도 강릉시 교동,0,중개거래,202203
46854,84.84,1999,11,8,1750,교동1주공,34900,가작로 78,강원도 강릉시 교동,0,중개거래,202203
46855,59.89,1999,15,12,1750,교동1주공,26700,가작로 78,강원도 강릉시 교동,0,중개거래,202203
46856,59.89,1999,19,2,1750,교동1주공,23900,가작로 78,강원도 강릉시 교동,0,중개거래,202203
46857,84.84,1999,19,7,1750,교동1주공,35000,가작로 78,강원도 강릉시 교동,0,중개거래,202203
46858,49.85,1999,22,8,1750,교동1주공,21700,가작로 78,강원도 강릉시 교동,0,중개거래,202203
46859,49.85,1999,26,2,1750,교동1주공,19500,가작로 78,강원도 강릉시 교동,0,중개거래,202203
46860,49.85,1999,26,2,1750,교동1주공,19500,가작로 78,강원도 강릉시 교동,0,중개거래,202203
46861,59.79,2002,1,4,1766,교동3주공,27800,교동광장로 138-12,강원도 강릉시 교동,0,중개거래,202203
46862,59.84,2002,2,12,1766,교동3주공,29400,교동광장로 138-12,강원도 강릉시 교동,0,중개거래,202203
46863,59.74,2002,5,14,1766,교동3주공,30000,교동광장로 138-12,강원도 강릉시 교동,0,중개거래,202203
46864,59.74,2002,12,2,1766,교동3주공,29300,교동광장로 138-12,강원도 강릉시 교동,0,중개거래,202203
46865,59.74,2002,19,14,1766,교동3주공,30000,교동광장로 138-12,강원도 강릉시 교동,0,중개거래,202203
46866,84.98,1997,8,7,18,교동대림,24500,수리골길17번길 21,강원도 강릉시 교동,16,중개거래,202203
46867,59.84,1997,21,11,18,교동대림,18200,수리골길17번길 21,강원도 강릉시 교동,16,중개거래,202203
46868,123.7566,2006,7,15,357,교동이-편한세상,51000,종합운동장길 92,강원도 강릉시 교동,0,중개거래,202203
46869,49.92,1999,21,12,1773,부영1,19000,정원로 53-4,강원도 강릉시 교동,0,중개거래,202203
46870,84.93,2001,17,15,1780,부영3차,38000,하슬라로 124,강원도 강릉시 교동,0,중개거래,202203
46871,84.9763,2003,18,11,1775,부영6,43800,정원로 53-9,강원도 강릉시 교동,0,중개거래,202203
46872,27.75,1987,29,2,348,서일2,6300,수리골길17번길 35,강원도 강릉시 교동,6,중개거래,202203
46873,84.95,1992,26,7,1034,정아타워맨션,15500,화부산로 29,강원도 강릉시 교동,0,중개거래,202203
46874,84.945,1992,3,4,828,현대,18700,옛강일길 41,강원도 강릉시 교동,19,중개거래,202203
46875,122.74,1999,22,5,1759,현대하이빌,50000,원대로128번길 14,강원도 강릉시 교동,0,중개거래,202203
46876,24.795,1988,10,3,616,강부2,4400,관대길 63,강원도 강릉시 내곡동,0,중개거래,202203
46877,41.18,1988,25,4,616,강부2,6600,관대길 63,강원도 강릉시 내곡동,0,중개거래,202203
46878,41.18,1988,25,4,616,강부2,5000,관대길 63,강원도 강릉시 내곡동,0,중개거래,202203
46879,84.48,1993,7,5,127,남산삼익,25500,남부로125번길 37,강원도 강릉시 내곡동,0,중개거래,202203
46880,58.74,1993,14,7,127,남산삼익,13400,남부로125번길 37,강원도 강릉시 내곡동,0,중개거래,202203
46881,84.48,1993,28,9,127,남산삼익,19500,남부로125번길 37,강원도 강릉시 내곡동,0,중개거래,202203
46882,84.99,1998,14,1,469,내곡동현대,26400,범일로 645,강원도 강릉시 내곡동,0,중개거래,202203
46883,84.99,1998,14,15,469,내곡동현대,32000,범일로 645,강원도 강릉시 내곡동,0,중개거래,202203
