_trade_data_id,address,area,build-year,floor,Y,X,main-num,name,price,sub-num,day,trade-type,year-and-month
255335,강원도 동해시 단봉길 16,31.5,1998,3,37.479382,129.119211,24,성협5차,3800,4,16,중개거래,202212
255336,강원도 동해시 청운1길 29,59.3575,1996,7,37.4867074,129.1048695,442,대동3차,9300,0,5,직거래,202212
255337,강원도 동해시 청운1길 29,45,1996,13,37.4867074,129.1048695,442,대동3차,5500,0,15,직거래,202212
255338,강원도 동해시 청운1길 29,59.3575,1996,4,37.4867074,129.1048695,442,대동3차,9300,0,26,중개거래,202212
255339,강원도 동해시 효자남길 9,134.98,2007,2,37.4876211,129.1073593,442,북삼코아루,34000,0,1,중개거래,202212
255340,강원도 동해시 효자남길 33-20,74.3567,2018,20,37.4894703,129.1061767,451,북삼하우스디아파트,28300,0,7,중개거래,202212
255341,강원도 동해시 효자남길 33-20,74.3567,2018,20,37.4894703,129.1061767,451,북삼하우스디아파트,28300,0,7,직거래,202212
255342,강원도 동해시 지리골길 36,57.52,1991,3,37.5476668,129.1024869,233,강경,5300,67,9,중개거래,202212
255343,강원도 동해시 동호3길 47,59.095,1991,3,37.5468191,129.0996679,516,삼화,3000,1,13,직거래,202212
255344,강원도 동해시 부곡4길 26,61.56,1987,4,37.538372,129.108811,9,동성,4200,2,12,중개거래,202212
255345,강원도 동해시 부곡3길 22,41.77,1986,5,37.5375763,129.1071811,112,삼정(다라),3000,0,16,직거래,202212
255346,강원도 동해시 부곡4길 10,49.89,1991,5,37.5373155,129.1090556,31,삼화미성,4500,2,7,중개거래,202212
255347,강원도 동해시 부곡2길 26,35.045,1995,8,37.5376491,129.1061525,111,유존,3800,1,24,중개거래,202212
255348,강원도 동해시 해안로 449,108.8,1996,11,37.5408288,129.1091302,5,일정골든타워,18700,82,10,중개거래,202212
255349,강원도 동해시 단봉길 39,78.86,2020,15,37.4790575,129.122078,327,e편한세상동해,27500,0,5,직거래,202212
255350,강원도 동해시 전천로 270,47.01,1989,1,37.4808952,129.1221281,151,북평주공2차,4000,5,5,중개거래,202212
255351,강원도 동해시 효자로 572-1,60,2012,14,37.4873174,129.0993604,1100,아름다운아침,9000,0,12,중개거래,202212
255352,강원도 동해시 초원2길 5,46.29,1996,5,37.5116546,129.1242399,260,범주성지,12000,2,21,중개거래,202212
255353,강원도 동해시 전천로 175-24,49.275,1996,13,37.4810376,129.1099079,302,강변,4930,6,24,중개거래,202212
255354,강원도 동해시 배골길 32-4,75.96,2018,14,37.4768014,129.1081267,751,동해아이파크,27500,0,1,중개거래,202212
255355,강원도 동해시 배골길 32-4,59.95,2018,7,37.4768014,129.1081267,751,동해아이파크,23200,0,13,중개거래,202212
255356,강원도 동해시 배골길 32-4,84.98,2018,2,37.4768014,129.1081267,751,동해아이파크,31700,0,13,중개거래,202212
255357,강원도 동해시 이원길 180-2,49.62,1999,15,37.4781899,129.1109172,155,이도1주공,6550,0,5,중개거래,202212
255358,강원도 동해시 월평로 49,41.94,2007,3,37.4930709,129.0553534,433,동해규수방,3000,31,2,중개거래,202212
255359,강원도 동해시 동굴로 20,49.94,1994,3,37.5158207,129.1067126,1004,시영3차,4900,1,28,직거래,202212
255360,강원도 동해시 항골길 65,64.7915,2020,16,37.5242615,129.1001739,1111,천곡금호어울림라포레,22500,0,19,중개거래,202212
255361,강원도 동해시 천곡로 20,43.97,1983,1,37.5241929,129.1075037,1080,천곡주공1차,7800,0,23,직거래,202212
255362,강원도 동해시 동굴로 61-19,59.3,1985,4,37.5192629,129.1095688,306,천곡주공3차,9000,0,17,중개거래,202212
255363,강원도 동해시 샘실1길 5,39.6,1989,4,37.5206512,129.1037295,415,천곡주공4차,7300,0,27,중개거래,202212
255364,강원도 동해시 천곡로 7,68.32,1990,8,37.525935,129.1071787,791,한양1차,9200,0,12,중개거래,202212
255365,강원도 동해시 천곡로 15,49.81,1991,10,37.5266511,129.1086374,794,한양2차,7000,0,15,직거래,202212
255366,강원도 동해시 평원로 115,59.4026,2010,7,37.5330018,129.1116845,449,동해하나리움,17400,0,2,중개거래,202212
